Date,1 Month TRY Interest,3 Months TRY Interest,6 Months TRY Interest,1 Year TRY Interest,1 Month USD Interest,3 Months USD Interest,6 Months USD Interest,1 Year USD Interest,USD Buying,USD Selling
2010-07-01,8.19,9.31,8.99,9.23,2.22,3.22,3.47,2.37,1.5363136363636,1.5437318181818
2010-08-01,7.98,9.02,8.97,9.08,2.12,2.85,3.42,2.34,1.5016285714286,1.5088761904762
2010-09-01,7.97,8.94,8.89,9.16,1.96,2.72,2.99,2.33,1.488915,1.496105
2010-10-01,7.76,8.73,8.89,9.03,1.91,2.56,2.83,2.3,1.41846,1.4253
2010-11-01,7.82,8.74,8.86,9.04,1.95,2.51,2.76,2.4,1.4295277777778,1.4364222222222
2010-12-01,7.69,8.8,8.78,8.97,2.0,2.88,2.77,2.7,1.513147826087,1.5204434782609
2011-01-01,6.95,8.17,8.51,8.5,2.05,3.01,2.95,2.54,1.553819047619,1.5613095238095
2011-02-01,6.84,8.07,8.45,8.29,2.05,3.17,2.98,2.53,1.58283,1.59047
2011-03-01,6.89,8.16,8.5,8.38,2.08,3.32,3.33,2.68,1.5746695652174,1.5822652173913
2011-04-01,6.94,8.45,8.96,8.69,2.13,3.48,3.5,2.85,1.515619047619,1.5229380952381
2011-05-01,6.75,8.95,9.26,8.79,2.31,3.78,3.78,3.07,1.5641571428571,1.5717047619048
2011-06-01,7.02,9.39,9.65,9.1,2.09,3.99,3.97,3.1,1.5940136363636,1.6017
2011-07-01,7.32,9.69,10.12,9.65,2.24,4.06,4.08,3.33,1.6467142857143,1.6546571428571
2011-08-01,7.32,9.47,10.22,9.79,2.24,3.96,4.16,3.49,1.7442380952381,1.7526476190476
2011-09-01,7.13,9.06,9.94,9.79,2.41,3.84,4.04,3.43,1.786519047619,1.7951428571429
2011-10-01,7.31,8.97,9.56,9.76,2.42,3.8,3.7,3.49,1.827080952381,1.8358952380952
2011-11-01,8.19,9.54,9.53,9.82,2.68,3.99,3.83,3.36,1.8037842105263,1.8124631578947
2011-12-01,8.94,10.67,10.36,10.05,2.8,4.6,4.35,3.41,1.85885,1.8678227272727
2012-01-01,8.67,10.93,11.06,10.08,2.72,4.57,4.23,3.35,1.8389363636364,1.8478136363636
2012-02-01,8.19,10.82,11.38,10.03,2.54,4.29,4.1,3.57,1.7510904761905,1.7595333333333
2012-03-01,8.59,10.38,11.1,10.2,2.41,3.87,3.79,3.63,1.7792954545455,1.7878818181818
